ld8,H_all1,H_all2,H_all3,H_all4,H_all5,H_all6,H_all7,H_all8,H_all9,H_all10,H_all11,H_all12,H_all13
11634_20180409,1.32382632115175,1.25884098932866,1.43626909548443,1.096432860307,0.953656056269723,0.988341103374208,1.37921341225529,1.51185622204087,1.33583019351611,1.25932413298922,1.04871042148683,1.38975872663717,1.23144748490583
11638_20180419,1.40624035853542,1.45442410060452,1.31676880379705,1.47332898618471,1.52740343900538,1.48816704193084,1.5645452280328,1.41619225503422,1.48581938284405,1.45841206761125,1.42919405491226,1.43742325670598,1.31662347047705
11640_20180514,1.29110610079542,1.5838576581077,1.25685160911572,1.55857572783483,1.59697301288213,1.59725373676012,1.40949682082737,1.49163554045027,1.41366970624689,1.45612700037577,1.43944637292212,1.42672678802839,1.50228773975008
11641_20180510,1.42552144004535,1.26733968017957,1.36073769325645,1.41144846817219,1.5056425285676,1.60067114423866,1.3653453377223,1.49872337819331,1.55959060886538,1.50669873407434,1.22442349476102,1.27362537519224,1.25380401923894
11641_20191018,1.59995503287795,1.66814687737538,1.52475513153967,1.48095726059267,1.56757865124122,1.58980967583016,1.4142820829242,1.42680140137749,1.5256666650204,1.37803386326777,1.57746472044262,1.6346478324967,1.48730195758336
11645_20191209,1.27896753208962,1.29720258227599,1.40057197379339,1.31582870732713,1.38332067345077,1.26956235663115,1.17838379478962,1.168218575331,1.53474095403209,1.29110724867593,1.20219222601118,1.02930286198972,1.25560018258449
11647_20180514,1.50544343811854,1.38224082814691,1.3668626128374,1.1911138736619,1.08811260091907,1.03147150680718,1.1053013367718,1.1451763691181,1.33329227716833,1.52222625814596,1.08324469615718,1.14201921537407,1.24588170643537
11648_20180604,1.48761892048121,1.414316783255,1.54988250679309,1.42036865539705,1.40938886752934,1.45622086235314,1.59653965739381,1.5278305841991,1.56107071632885,1.52647967801744,1.3262522473558,1.42884318439762,1.54035117426678
11648_20191206,1.55824472501389,1.38255516269022,1.58487171947027,1.67969393088329,1.50153091779086,1.52710424180153,1.53124157616603,1.28587717623317,1.63935842553163,1.56502120437684,1.48695963906232,1.45665442112804,1.30428471405426
11649_20180521,1.53056125960852,1.28680135659076,1.2465387208314,1.52453862421102,1.35805658132404,1.32695170604046,1.44632478690419,1.45117467309821,1.35877548064557,1.27320811138628,1.32959120911905,1.39212194472094,1.177841981132
11650_20180521,1.54239546714925,1.27810571174541,1.2913165325929,1.51363133865275,1.35805658132404,1.32695170604046,1.44867575885339,1.46606201006303,1.36594325474686,1.18668390297755,1.37724959869529,1.3419857758582,1.18098380859481
11651_20190222,1.12711975646684,1.14178594152645,1.29293590121346,1.12394507257918,1.1466953801016,1.24842525162395,0.970077990797537,1.2927067625554,1.17808031823281,1.21026500769423,1.14845915338699,1.20388527474336,1.132919724521
11653_20180608,1.32281584911886,1.31919198533201,1.32949946188627,1.37109943497186,1.28682897504669,1.19028306227005,1.38580792144097,1.30878133698747,1.35609808804492,1.40578568389088,1.36297289744808,1.36514937774905,1.06783188172128
11655_20180702,1.46884411119252,1.49361286472248,1.35155950419893,1.50094475579533,1.68359929033392,1.68774559578724,1.57509192094843,1.53453452348781,1.41112830063546,1.4970340950291,1.45144961383971,1.22269963215031,1.45408062438627
11656_20180607,1.32849079316738,1.55219628579031,1.40719055912246,1.34774615699323,1.472644254493,1.48548315307055,1.66824900468965,1.33554951003853,1.36722180426313,1.42740881067449,1.54316044079275,1.19523967879675,1.43382503049012
11656_20191206,1.50292450392175,1.55024821144082,1.49624196161335,1.47708840076686,1.39468415494478,1.39515120626414,1.55371242369501,1.36686281110117,1.44505924058519,1.64898149773528,1.39084943548851,1.56885029499718,1.44186581530072
11657_20180817,1.43154921842671,1.18513132627933,1.35111924330521,1.17537963007929,1.31262420771927,1.27284146077519,1.33339593185559,1.23402636258376,1.41243463129426,1.00833325079492,1.09255754595181,1.43472301900854,1.21774429712525
11658_20180608,1.42826591814691,1.37637627857831,1.30665746086624,1.41076148827827,1.50328330178544,1.5221359649831,1.30426610066744,1.33679686943961,1.48672690518075,1.25347671362488,1.14694656780478,1.34349617549098,1.45001761380955
11658_20200130,1.51400100380549,1.43407488318985,1.43714009748471,1.34121805102094,1.34872482932566,1.34307973702039,1.2915297799414,1.33360079619008,1.40726304672656,1.59427028723336,1.24401320234048,1.45896736334166,1.34309221969892
11661_20180720,1.31437258923427,1.27039856698165,1.26408835525416,1.02224013878661,1.40883459300439,1.4189534766701,1.25472870024822,1.02517082338499,1.16052421464581,1.23860680825927,1.2611721310027,1.24022936774159,1.12215081801715
11662_20180614,1.33790378689648,1.48242354772431,1.26442232593405,1.51698052743695,1.51692078126001,1.53842046663367,1.34741157717889,1.34273484228818,1.42414517433443,1.47282277923136,1.18617346785068,1.10100682232414,1.54554739140284
11664_20180712,1.40817229272544,1.53814775436198,1.42738320342805,1.48801452998997,1.40422846834659,1.54732961304449,1.58072659926731,1.4976337139246,1.50420487313771,1.43304850419858,1.28539672145225,1.23023524873285,1.42986012015828
11665_20180628,1.48089224320629,1.4092873530057,1.31406250231026,1.27370582926212,1.27666079320238,1.30827088743034,1.37512179748484,1.30356967786397,1.20511964236135,1.26619356877599,1.36290798896084,1.2702854265011,1.43761875223177
