"subj","date","run","ASCor","ASErrCor","ASErr","Dropped","total","AScor.lat","ASErrCor.lat","ASErr.lat"
11750,20201019,1,30,16,0,2,48,340.4,162.375,NA
11752,20190131,1,9,24,5,10,48,411.444444444444,180.041666666667,182.4
11752,20201106,1,11,22,3,12,48,281,186.727272727273,200
11754,20190205,1,22,16,0,10,48,323.545454545455,164.3125,NA
11754,20210316,1,19,22,0,7,48,327.315789473684,170.681818181818,NA
11758,20190218,1,29,11,0,8,48,339.448275862069,194.636363636364,NA
11759,20190223,1,29,16,2,1,48,435.241379310345,211.375,261.5
11760,20190226,1,12,24,1,11,48,362.416666666667,190.625,216
11760,20201001,1,13,22,0,13,48,237.769230769231,164.590909090909,NA
11760,20220623,1,32,13,0,3,48,269.53125,167.538461538462,NA
11761,20190227,1,7,13,5,23,48,352.857142857143,177.076923076923,219
11761,20200930,1,4,3,3,38,48,323.25,162.333333333333,169.333333333333
11765,20190314,1,29,15,0,4,48,376.896551724138,142.133333333333,NA
11765,20210326,1,16,24,0,8,48,315.4375,174.125,NA
11767,20190319,1,15,20,1,12,48,352.2,151.65,67
11768,20190320,1,9,21,4,14,48,318,173.714285714286,177.5
11770,20190327,1,16,9,4,19,48,220.4375,134.555555555556,131.5
11770,20210412,1,2,0,1,45,48,144.5,NA,153
11771,20190403,1,33,12,0,3,48,225.727272727273,151.25,NA
11772,20190408,1,9,29,4,6,48,419.222222222222,184.344827586207,304.25
11773,20190410,1,4,15,2,27,48,383.25,202,188
11774,20190423,1,23,13,0,12,48,300.95652173913,224.230769230769,NA
11776,20190424,1,2,23,6,17,48,393.5,146.173913043478,131.333333333333
11788,20190619,1,3,0,1,44,48,332,NA,165
11788,20210720,1,16,12,0,20,48,319,265.833333333333,NA
11779,20190513,1,32,10,4,2,48,330.25,198.2,276.75
11779,20210803,1,33,13,0,2,48,339.212121212121,190.923076923077,NA
11784,20190607,1,41,4,1,2,48,349.414634146341,216.5,192
11780,20190517,1,23,9,4,12,48,315.04347826087,226.777777777778,230.5
11780,20210319,1,37,10,0,1,48,223.621621621622,143.5,NA
11780,20220516,1,30,18,0,0,48,227.2,144.5,NA
11799,20190730,1,35,12,0,1,48,338.257142857143,223.333333333333,NA
11799,20210524,1,38,8,1,1,48,254.710526315789,182.75,240
11796,20190719,1,5,43,0,0,48,265,138.46511627907,NA
11796,20210716,1,18,27,0,3,48,252.055555555556,141,NA
11798,20210728,1,25,14,0,9,48,380.48,178,NA
11781,20190601,1,28,16,0,4,48,389.607142857143,228.625,NA
11781,20210324,1,44,3,0,1,48,325.818181818182,288,NA
11786,20190613,1,5,11,0,32,48,502.8,180.363636363636,NA
11786,20210310,1,19,5,6,18,48,281.578947368421,195.8,294.833333333333
11778,20190509,1,27,14,0,7,48,293.111111111111,183.785714285714,NA
11782,20190605,1,0,5,3,40,48,NA,194.2,147
11782,20210609,1,14,28,2,4,48,307.571428571429,204.642857142857,171.5
11785,20190611,1,13,30,1,4,48,289.615384615385,191.766666666667,157
11785,20211002,1,14,21,3,10,48,300.5,171,143.333333333333
11787,20190615,1,9,0,0,39,48,324.222222222222,NA,NA
11787,20220517,1,12,7,5,24,48,310.25,322.285714285714,261.2
11789,20190625,1,12,27,2,7,48,324.25,181.481481481481,145
11790,20190626,1,7,39,2,0,48,236.714285714286,141.153846153846,152.5
11790,20210317,1,16,30,0,2,48,208.625,154.766666666667,NA
11791,20190628,1,14,17,2,15,48,320.428571428571,196.764705882353,166
11791,20210323,1,3,25,9,11,48,275.333333333333,162.28,224
11793,20210331,1,7,33,2,6,48,306.428571428571,145,133.5
11795,20190715,1,22,21,2,3,48,269.954545454545,152.761904761905,224
11797,20190723,1,11,7,6,24,48,449.363636363636,174.571428571429,164.333333333333
11801,20210315,1,38,9,0,1,48,282.552631578947,161.111111111111,NA
11803,20190819,1,27,14,0,7,48,328.777777777778,236.928571428571,NA
11803,20210817,1,32,5,1,10,48,295.03125,152.8,258
11802,20190815,1,39,9,0,0,48,228.307692307692,138,NA
11802,20210331,1,31,14,0,3,48,201.741935483871,120.642857142857,NA
11806,20190904,1,3,1,1,43,48,408.333333333333,110,202
11805,20190826,1,9,20,4,15,48,279,173.1,149.25
11805,20220621,1,34,13,0,1,48,263.352941176471,166.230769230769,NA
11807,20191002,1,7,11,4,26,48,322.714285714286,226.090909090909,199
11807,20210715,1,5,11,0,32,48,363.6,190.545454545455,NA
11808,20191021,1,38,7,0,3,48,297.815789473684,170.428571428571,NA
11808,20210708,1,25,11,1,11,48,281.32,139.454545454545,228
11810,20210604,1,21,20,1,6,48,265.333333333333,157.7,164
11809,20191024,1,14,25,1,8,48,430.214285714286,192.32,144
11811,20191120,1,41,5,0,2,48,282.024390243902,206.4,NA
11812,20191127,1,38,10,0,0,48,258,187.3,NA
11813,20191210,1,13,15,6,14,48,305.153846153846,162.733333333333,159.333333333333
11813,20210614,1,21,27,0,0,48,286.857142857143,148.481481481481,NA
11814,20191216,1,12,6,11,19,48,266,152.666666666667,198.454545454545
11815,20200107,1,28,6,0,14,48,307.75,199.333333333333,NA
11815,20210915,1,41,5,0,2,48,273.512195121951,176,NA
11816,20200122,1,27,8,2,11,48,480.185185185185,178.375,357
11816,20211012,1,41,4,0,3,48,350.024390243902,188.75,NA
11817,20200203,1,12,15,0,21,48,367.083333333333,212.2,NA
11818,20200211,1,2,25,2,19,48,393,149.88,174
11818,20220218,1,16,14,4,14,48,260.8125,194.857142857143,162.5
11819,20200220,1,9,33,1,5,48,252.888888888889,170.30303030303,486
11820,20200225,1,9,27,4,8,48,385.111111111111,176.037037037037,178.25
