"trial" "xdat" "lat" "fstCorrect" "ErrCorr" "AS" "Count" "Desc" "ld8"
"227" 35 132 221 TRUE FALSE "AS" 1 "" "10644.20190926"
"228" 36 131 250 TRUE FALSE "AS" 1 "" "10644.20190926"
"229" 37 133 349 TRUE FALSE "AS" 1 "" "10644.20190926"
"230" 38 132 267 TRUE FALSE "AS" 1 "" "10644.20190926"
"231" 39 131 235 TRUE FALSE "AS" 1 "" "10644.20190926"
"232" 40 134 275 TRUE FALSE "AS" 1 "" "10644.20190926"
"233" 41 133 265 TRUE FALSE "AS" 1 "" "10644.20190926"
"234" 42 131 243 TRUE FALSE "AS" 1 "" "10644.20190926"
"235" 43 131 NA FALSE FALSE "AS" -1 "moving (6.958 px/60Hz) before target onset" "10644.20190926"
"236" 44 131 258 TRUE FALSE "AS" 1 "" "10644.20190926"
"237" 45 134 260 TRUE FALSE "AS" 1 "" "10644.20190926"
"238" 46 133 299 TRUE FALSE "AS" 1 "" "10644.20190926"
"239" 47 132 299 TRUE FALSE "AS" 1 "" "10644.20190926"
"240" 48 132 277 TRUE FALSE "AS" 1 "" "10644.20190926"
"241" 1 132 317 TRUE FALSE "AS" 1 "" "10644.20180206"
"242" 2 132 226 TRUE FALSE "AS" 1 "" "10644.20180206"
"243" 3 132 NA FALSE FALSE "AS" -1 "average fixpos(25.775000) is off from baseline(130.500000)!" "10644.20180206"
"244" 4 131 NA FALSE FALSE "AS" -1 "poor tracking: sd of xpos Δ=51.659360" "10644.20180206"
"245" 5 132 322 TRUE FALSE "AS" 1 "" "10644.20180206"
"246" 6 132 NA FALSE FALSE "AS" -1 "average fixpos(47.800000) is off from baseline(130.500000)!" "10644.20180206"
"247" 7 134 376 FALSE FALSE "AS" 0 "" "10644.20180206"
"248" 8 133 NA FALSE FALSE "AS" -1 "< 30% tracking for samples of interest" "10644.20180206"
"249" 9 134 NA FALSE FALSE "AS" -1 "average fixpos(76.562500) is off from baseline(130.500000)!" "10644.20180206"
"250" 10 133 NA FALSE FALSE "AS" -1 "average fixpos(0.000000) is off from baseline(130.500000)!" "10644.20180206"
"251" 11 131 290 TRUE FALSE "AS" 1 "" "10644.20180206"
"252" 12 133 223 TRUE FALSE "AS" 1 "" "10644.20180206"
"253" 13 132 193 TRUE FALSE "AS" 1 "" "10644.20180206"
"254" 14 132 383 TRUE FALSE "AS" 1 "" "10644.20180206"
"255" 15 134 NA FALSE FALSE "AS" -1 "< 30% tracking for samples of interest" "10644.20180206"
"256" 16 133 285 TRUE FALSE "AS" 1 "" "10644.20180206"
"257" 17 131 334 TRUE FALSE "AS" 1 "" "10644.20180206"
"258" 18 131 275 TRUE FALSE "AS" 1 "" "10644.20180206"
"259" 19 132 265 TRUE FALSE "AS" 1 "" "10644.20180206"
"260" 20 134 275 TRUE FALSE "AS" 1 "" "10644.20180206"
"261" 21 132 393 TRUE FALSE "AS" 1 "" "10644.20180206"
"262" 22 131 331 TRUE FALSE "AS" 1 "" "10644.20180206"
"263" 23 133 260 TRUE FALSE "AS" 1 "" "10644.20180206"
"264" 24 131 253 TRUE FALSE "AS" 1 "" "10644.20180206"
"265" 25 133 248 TRUE FALSE "AS" 1 "" "10644.20180206"
"266" 26 134 295 TRUE FALSE "AS" 1 "" "10644.20180206"
"267" 27 133 NA FALSE FALSE "AS" -1 "blink starts 0.506 before any saccade" "10644.20180206"
"268" 28 131 262 TRUE FALSE "AS" 1 "" "10644.20180206"
"269" 29 132 285 TRUE FALSE "AS" 1 "" "10644.20180206"
"270" 30 131 371 TRUE FALSE "AS" 1 "" "10644.20180206"
"271" 31 134 NA FALSE FALSE "AS" -1 "< 30% tracking for samples of interest" "10644.20180206"
"272" 32 134 NA FALSE FALSE "AS" -1 "no good saccades" "10644.20180206"
"273" 33 133 243 TRUE FALSE "AS" 1 "" "10644.20180206"
"274" 34 134 252 TRUE FALSE "AS" 1 "" "10644.20180206"
"275" 35 134 NA FALSE FALSE "AS" -1 "no good saccades" "10644.20180206"
"276" 36 133 297 TRUE FALSE "AS" 1 "" "10644.20180206"
"277" 37 131 249 TRUE FALSE "AS" 1 "" "10644.20180206"
"278" 38 133 186 TRUE FALSE "AS" 1 "" "10644.20180206"
